COHORT,PHENO,N,mean,std,min,25%,50%,75%,max,Controls,Cases
PMBB_AFR_F,hepatic_fat,2866,-0.0022781397713939502,19.932822277156895,-106.4018799226644,-12.421902397685221,-4.145907968563275,8.531011700168552,378.4120250378785,,
PMBB_AFR_M,hepatic_fat,1593,-2.015054757974169,22.43805329300681,-65.20867924940691,-13.053676650053257,-6.608910820083992,4.420898209806978,401.85475823401055,,
PMBB_EUR_F,hepatic_fat,5822,5.838230859879231,24.390410596883665,-100.32097062113496,-11.738460688154213,0.0859904280332699,19.89736011076642,462.7371070091708,,
PMBB_EUR_M,hepatic_fat,7104,1.2348382553769406,20.266964717356036,-100.8383854037838,-11.774915704920465,-3.618214867781397,11.110535741772594,289.8575932013887,,
PMBB_META_EUR_AFR_M,hepatic_fat,8697,,,,,,,,,
PMBB_META_EUR_AFR_F,hepatic_fat,8688,,,,,,,,,
